ID,微博内容
103,【光明红坳山体滑坡 紧急停电】 //@深圳市应急管理办公室:【光明红坳山体滑坡 紧急停电】为配合政府部门对光明红坳山体滑坡的救援，@深圳供电 对3条线路实行紧急停电，影响光明新区光明街道塘家社区、长圳工业区、红坳恒泰裕工业园、红坳村一带，请受影响的小伙伴多多理解
104,#深圳山体滑坡#据@深圳商报记者 现场报道：警方在长凤路上拉起了警戒线，120救护车已经在现场待命，但是车上尚未有伤者。从现场疏散出来的群众有数以千计。现场交通有点拥堵。副市长刘庆生已经到达现场指挥救援工作。 ????????
105,#山体滑坡工业园被吞# @晶报 发回的现场图片。从照片上可以看到因为今天深圳下着小雨，道路很是泥泞。@深圳消防铁军 正在搜救被困人员。 ????????
106,【#深圳山体滑坡#】11时40日，光明长圳洪浪村煤气站旁山体滑坡，接警后，119迅速调光明、公明、特勤二中队7辆消防车、30名消防员到场处置。目前，山体滑坡已造成一栋楼坍塌，坍塌范围较大，据了解，现场有人被困，消防正在搜救被困人员。同时，各增援力量正赶往现场。 ????????
107,#德阳市绵竹小岗剑山体滑坡#成都支队地震救援队和搜救犬分队已做好增援准备，随时待命。
108,【公安部悬赏通缉深圳工业园山体滑坡事故在逃嫌犯】2015年12月20日，深圳市光明新区光明街道红坳渣土收纳场发生特别重大生产安全责任事故。经查，龙仁福系重大犯罪嫌疑人，林希孝、王明辉系重要犯罪嫌疑人，均在逃。公安部发布#通缉令#，对发现线索的举报人、缉捕有功者，每抓获1人给予5万元奖励↓↓ ????????
109,#深圳山体滑坡#深圳消防官兵发现被困男子，并已与他对话，用救援头盔对男子进行了防护，医护人员已开始给男子吸氧、输液。救援正在紧张进行！@广东消防 @深圳消防铁军 ????????
110,【遭遇山体滑坡如何自救？】#深圳山体滑坡#造成33栋建筑被毁（厂房14栋，办公室2栋，食堂1间，低矮建筑物13间，宿舍3栋），目前仍多人失联别以为不去野外就不会遭遇山体滑坡，山体滑坡时如何自救？立即收藏！ @新浪广东 ????????
111,#深圳山体滑坡# 【轮休！】替换下来的救援人员和搜救犬席地而睡[泪流满面]
112,【救援不断，人员轮换】#深圳山体滑坡#已超过35小时，消防救援部队在每个救援点的作业一直持续不断，一批消防员累了，另一批战友马上接过救援装备继续工作，绝不放弃任何一点生命迹象！此时，生命探测仪和搜救犬探测到有生命信息的8个点，全都在施工作业。图为12月21日22时30分的救援现场。加油！ ????????
113,【失联91人】根据现场指挥部9点发布会最新消息，深圳山体滑坡灾害失联人数上升至91人，其中59名男性，32名女性。
114,#深圳山体滑坡#现场救援消防官兵发回来今日上午用无人机拍摄的航拍高清图。滑坡现场画面瘆人，建筑被山体掩埋、扭曲，惨不忍睹！ ????????
