序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag
60,"
                                                                                                    【经济动态】经四川省统计局核定，2017年1-7月，阿坝州社会消费品零售总额完成48.00亿元，同比增长10.2%，其中：城镇完成37.79亿元，同比增长10.3%；乡村完成10.21亿元，同比增长9.6%。 ????????                                            ", 8月18日 09:08,1,1,2,360安全浏览器,FhDbEneYl,0
61,"
                                                                                                    【经济动态】经四川省统计局核定，2017年1-7月，阿坝州限上企业完成社会消费品零售总额21.58亿元，同比增长2.9%，较1-6月回升0.3个百分点。 ????????                                            ", 8月18日 09:08,转发,评论,2,360安全浏览器,FhDbzBXjs,0
62,"
                                                                                                    截至2017年8月17日17时“8.8”九寨沟地震接收捐赠资金情况 - O网页链接 ????????                                            ", 8月17日 17:12,转发,评论,5,bShare分享,FhwVEDEVF,1
63,"
                                                                                                    【经济动态】经四川省统计局审核认定，今年1-7月阿坝州完成全社会固定资产投资200.97亿元，同比下降18.2%。其中，第一产业投资完成7.3亿元，同比下降4.6%；第二产业投资完成60.28亿元，同比下降6.5%；第三产业投资完成133.39亿元，同比下降23.2%。 ????????                                            ", 8月17日 09:10,转发,2,2,360安全浏览器,FhtMbCxUp,0
64,"
                                                                                                    【我州作品参加全国藏语节目评比获佳绩】在8月1日至3日召开的第三十三次全国藏语广播电视文艺节目交换会暨第十八届全国藏语广播电视节目评析会上，阿坝州广播电视台译制中心选送的十件作品有九件获奖。其中专题片《时轮藏香》荣获一等奖；新闻专题《心灵的归宿》、长纪录片《嘉绒氆氇文化》等四件作品 ????????...展开全文c                                            ", 8月17日 09:10,转发,评论,1,360安全浏览器,FhtLZdgVU,0
65,"
                                                                                                    【阿坝州启动九寨沟地震灾后重建规划编制工作】8月8日，九寨沟县7.0级地震发生后，阿坝州发展改革委迅速启动地震灾后恢复重建总体规划编制工作，组织召开灾后重建规划编制会议，成立灾后重建规划编制小组，下设政策研究组、规划文本组、项目编报组，深入灾区调研，详细了解居民住房，教育、卫生等公共 ????????...展开全文c                                            ", 8月17日 09:05,2,3,10,360安全浏览器,FhtJUpN8D,1
66,"
                                                                                                    【7月阿坝州PPI同比上涨7.1%】据国家统计局阿坝调查队调查数据显示，2017年7月阿坝州工业生产者出厂价格指数（PPI）同比上涨7.1%，涨幅比上月缩小0.7个百分点。 　　从调查的11个大类来看，同比呈“8涨1平2降”的态势。上涨的行业有：非金属矿物制品业上涨20.5%，黑色金属冶炼和压延加工业上涨18%， ????????...展开全文c                                            ", 8月17日 09:04,转发,评论,1,360安全浏览器,FhtJEaJpf,0
67,"
                                                                                                    截至2017年8月16日17时“8.8”九寨沟地震接收捐赠资金情况 - O网页链接 ????????                                            ", 8月17日 09:04,转发,评论,2,bShare分享,FhtJttcWa,1
68,"
                                                                                                    截至2017年8月15日17时“8.8”九寨沟地震接收捐赠资金情况 - O网页链接 ????????                                            ", 8月17日 09:03,转发,评论,1,bShare分享,FhtJj9TSs,1
69,"
                                                                                                    【招商引资】1-7月，阿坝州招商引资共有续约项目156个，到位资金53.08亿元，完成全年目标78亿元的68%。其中，到位国内省外资金30.52亿元,完成全年目标任务35亿元的87%。 ????????                                            ", 8月17日 09:02,转发,评论,赞,360安全浏览器,FhtIYuX89,0
