序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag
68,"
                                                                                                    【保电有我，大家放心！】9月18日，四川宜宾市江安供电公司圆满完成江安县体育馆“中国流动科技馆”第二次巡展保电工作。9月18日，国网内江供电公司圆满完成 “四川省2017年国家网络安全宣传周”开幕式保电任务。9月15日至25日傍晚7:30——9:30，第四届四川旅博会的亮点项目“夜游三江”会向游人开 ????????...展开全文c                                            ", 9月20日 10:00,1,1,赞,微博 weibo.com,FmED39D2X,0
69,"
                                                                                                    【天然的6种感冒药，好吃还没有副作用】季节交替的季节里，很多人都不幸被感冒缠上，少则三四天，多则一周才能痊愈，好桑心…其实，在家里厨房就有天然的感冒药。日常生活饮食中适当补充以下食物，有助抵御疾病；感冒的人合理摄入，辅助缓解症状。虽然不希望你用到，但留着备用准没错！ ????????...展开全文c                                            ", 9月20日 09:30,转发,评论,赞,微博 weibo.com,FmEqRwNLq,0
70,"
                                                                                                    【成都：我们的爱陪着你】9月18日，国网成都简州供电公司共产党员服务队员来到简阳市石桥镇石堰中心校、永达村九义校，为师生讲解安全用电常识，同时为贫困“留守儿童”送上助学金。（陈翔） ????????                                            ", 9月20日 09:00,转发,评论,2,微博 weibo.com,FmEeHb2pt,0
71,"
                                                                                                    有时候、一个人只要好好活着，就足以拯救别人。希望李真快点好起来                                            ", 9月20日 08:27,转发,评论,10245,微博 weibo.com,FmE1pBKDA,0
72,"
                                                                                                    【#墨西哥7.1级地震# 已造成至少119人死亡】19日下午，墨西哥中部莫雷洛斯州发生7.1级地震，目前已造成至少119人死亡。据当地媒体，由于地震来袭突然，多处房屋遭遇火灾，一些居民被困其中。据了解32年前今天，墨西哥1985年大地震造成7000多人死亡。愿逝者安息 ????????                                            ", 9月20日 08:22,转发,评论,1,微博 weibo.com,FmDZm1yUX,0
73,"
                                                                                                    #早安#一天好心情不仅从清晨开始，而且从心晨开始。保持好状态，让心晨明朗阳光，给心城自由开放，还新晨如云舒卷。 ????????                                            ", 9月20日 08:00,转发,评论,1,微博 weibo.com,FmDQkAdeh,0
74,"
                                                                                                    #晚安# 努力向前，不为别人，只为做一个连自己都羡慕的人！ ????????                                            ", 9月19日 23:00,转发,评论,2,微博 weibo.com,FmAj9xGvS,0
75,"
                                                                                                    【缺觉一周700多种基因改变！】工作忙、应酬多，晚上不想睡、早上起不来…越来越多人用透支睡眠的方式填补白天不够用的时间，不知不觉间欠下一大笔“睡眠债”。别再不以为然，英国萨里大学研究发现，每晚睡眠不足6小时，持续一周，体内700多个基因改变。你不睡，身体很伤心从今天开始， ????????...展开全文c                                            ", 9月19日 17:30,1,2,1,微博 weibo.com,Fmy9d4Qak,0
76,"
                                                                                                    【南充：张思德电力为民服务队，我们在行动】9月12日，南充张思德电力为民服务队走进仪陇县银山希望小学川电留守学生之家，为留守儿童送去学习用品，宣讲安全用电常识。随后前往新政镇六一安置区上门服务孤寡老人谢玉秀，为她检修室内线路，排除安全隐患。9月18日，服务队三新分队，前往礼乐敬老检修 ????????...展开全文c                                            ", 9月19日 17:00,4,2,7,微博 weibo.com,FmxX220K7,0
77,"
                                                                                                    【国庆哪儿耍？到德阳广汉去看2017四川国际航展！】国庆将至，还没想好去哪儿耍？不如到德阳广汉去看四川国际航展吧！这里有精彩绝伦的飞行表演：多支飞行表演队共舞蓝天，还有拉脱维亚国宝级飞行表演队，360度打造震撼视觉盛宴~！还有嗨到爆的狂欢趴体：三星堆国际飞行音乐节暨面具狂欢夜！ ????????...展开全文c                                            ", 9月19日 16:30,转发,1,1,微博 weibo.com,FmxKR4m8f,0
